p_flip,margin_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,0,8,0.25,0.0,0.25,0.0,0.0,0.0,0.8228700463734685,0.8490000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,8,0.5,0.0,0.5,0.0,0.0,0.0,0.7981874615498461,0.8210624999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.02,2,8,0.375,0.0,0.375,0.25,0.6666666666666666,0.6666666666666666,0.7810093726636965,0.8055,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0,8,0.25,0.0,0.25,0.125,0.5,0.5,0.9446601719099259,0.9599374999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1,8,0.5,0.0,0.5,0.5,1.0,1.0,0.9341323918037201,0.948375,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2,8,0.25,0.0,0.25,0.25,1.0,1.0,0.9214827272413262,0.936875,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,8,0.25,0.0,0.25,0.25,1.0,1.5,0.9884586877657539,0.9951875,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,8,0.5,0.0,0.5,0.5,1.0,2.0,0.9847493601193205,0.9920625,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2,8,0.25,0.0,0.25,0.25,1.0,2.0,0.983164336283445,0.9908125000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,8,0.25,0.0,0.25,0.25,1.0,4.0,0.9960574027469477,0.9999375,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,8,0.5,0.0,0.5,0.5,1.0,4.0,0.9960574027469477,0.9999375,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2,8,0.25,0.0,0.25,0.25,1.0,4.0,0.9959080441487975,0.9998750000000001,0.0,0.0,0.0,0.0,0.0,0.0
