p_flip,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.01,0,6,10,0.6,0.3126695474501863,0.8318224187964901
0.01,1,0,10,0.0,0.0,0.2775401687666165
0.01,2,0,10,0.0,0.0,0.2775401687666165
0.01,3,0,10,0.0,0.0,0.2775401687666165
0.01,4,0,10,0.0,0.0,0.2775401687666165
0.01,5,0,10,0.0,0.0,0.2775401687666165
0.02,0,5,10,0.5,0.2365895936154873,0.7634104063845127
0.02,1,0,10,0.0,0.0,0.2775401687666165
0.02,2,0,10,0.0,0.0,0.2775401687666165
0.02,3,0,10,0.0,0.0,0.2775401687666165
0.02,4,0,10,0.0,0.0,0.2775401687666165
0.02,5,0,10,0.0,0.0,0.2775401687666165
0.05,0,4,10,0.4,0.16817758120350967,0.6873304525498135
0.05,1,0,10,0.0,0.0,0.2775401687666165
0.05,2,0,10,0.0,0.0,0.2775401687666165
0.05,3,0,10,0.0,0.0,0.2775401687666165
0.05,4,0,10,0.0,0.0,0.2775401687666165
0.05,5,0,10,0.0,0.0,0.2775401687666165
0.1,0,4,10,0.4,0.16817758120350967,0.6873304525498135
0.1,1,0,10,0.0,0.0,0.2775401687666165
0.1,2,0,10,0.0,0.0,0.2775401687666165
0.1,3,0,10,0.0,0.0,0.2775401687666165
0.1,4,0,10,0.0,0.0,0.2775401687666165
0.1,5,0,10,0.0,0.0,0.2775401687666165
